"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1542","test_navigation_to_order_feed_success[chrome]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","1893","test_navigation_to_order_feed_success[firefox]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","7659","test_total_orders_counter_increases[chrome]","tests","2026-05-21","passed","2026-05-21","TestFeedPage","test_feed_page","",""
"","6130","test_total_orders_counter_increases[firefox]","tests","2026-05-21","passed","2026-05-21","TestFeedPage","test_feed_page","",""
"","1088","test_close_ingredient_modal_by_click_cross_button[firefox]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","997","test_ingredient_counter_increases_after_drag_and_drop[chrome]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","569","test_navigation_to_constructor_success[chrome]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","8610","test_new_order_appears_in_progress_block[chrome]","tests","2026-05-21","passed","2026-05-21","TestFeedPage","test_feed_page","",""
"","6092","test_today_orders_counter_increases[firefox]","tests","2026-05-21","passed","2026-05-21","TestFeedPage","test_feed_page","",""
"","8124","test_new_order_appears_in_progress_block[firefox]","tests","2026-05-21","passed","2026-05-21","TestFeedPage","test_feed_page","",""
"","533","test_click_ingredient_opens_modal_details[chrome]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","7144","test_today_orders_counter_increases[chrome]","tests","2026-05-21","passed","2026-05-21","TestFeedPage","test_feed_page","",""
"","398","test_navigation_to_constructor_success[firefox]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","1045","test_close_ingredient_modal_by_click_cross_button[chrome]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","580","test_click_ingredient_opens_modal_details[firefox]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
"","597","test_ingredient_counter_increases_after_drag_and_drop[firefox]","tests","2026-05-21","passed","2026-05-21","TestMainPage","test_main_page","",""
